Banjo & Kazooie
Side B (Dragon Lunge, Pin)	4	-6
Side B (Dragon Lunge, Air)	10	0
Dragon Lunge, Pin Cancel	0	0
Dragon Lunge, Pin Jump	0	0
Dragon Lunge, Pin Kick	10	-35
Dragon Lunge, Back Kick	6	-48
Up B (Dragon Ascent)	18	0
Down B (Counter Surge)	7	0
Counter Surge, Attack	27	0
Grab	7	0
Dash Grab	10	0
Pivot Grab	11	0
Pummel	0	0

daisy
Jab 1	2	-22
Jab 2	2	-23
Forward Tilt	7	-22
Up Tilt	9	-20
Down Tilt	8	-8
Dash Attack	6	-14
Forward Smash	15	-20
Up Smash	14	-20
Down Smash	6	-21
Neutral Air	5	-2
Forward Air	16	-8
Back Air	6	-6
Up Air	10	-4
Down Air	12	-6
Neutral B (Toad)	9	0
Toad, Attack	2	0
Side B (daisy Bomber)	13	-13
Side B, Air (daisy Bomber, Air)	13	-13
Up B (daisy Parasol)	7	0
Down B (Turnip Pull)	0	0
Grab	6	0
Dash Grab	9	0
Pivot Grab	10	0
Pummel	1	0

Dark Pit
Jab 1	4	-18
Jab 2	5	-21
Jab 3	3	-23
Rapid Jab	6	0
Rapid Jab Finisher	4	-40
Forward Tilt	10	-22
Up Tilt	6	-23
Down Tilt	6	-13
Dash Attack	7	-17
Forward Smash	10	-26
Up Smash	6	-27
Down Smash	5	-27
Neutral Air	4	-12
Forward Air	11	-10
Back Air	10	-5
Up Air	12	-12
Down Air	10	-10
Neutral B (Silver Bow)	16	-21
Side B (Electroshock Arm)	18	-36
Side B, Air (Electrodash Arm, Air)	21	-40
Up B (Power of Flight)	0	0
Down B (Guardian Orbitars)	7	0
Grab	6	0
Dash Grab	9	0
Pivot Grab	10	0
Pummel	1	0

Dark Samus
Jab 1	3	-10
Jab 2	6	-15
Forward Tilt	8	-17
Up Tilt	15	-12
Down Tilt	6	-27
Dash Attack	8	-26
Forward Smash	10	-30
Up Smash	11	-24
Down Smash	9	-28
Neutral Air	8	-5
Forward Air	6	-12
Back Air	9	-9
Up Air	5	-16
Down Air	17	-8
Z Air	8	-5
Neutral B (Charge Shot)	3	-16
Charge Shot, Full Charge	16	-2
Side B (Homing Missle)	18	-26
Side B (Super Missle)	21	-24
Up B (Screw Attack)	4	0
Up B, Air (Screw Attack, Air)	5	0
Down B (Bomb)	33	0
Grab	15	0
Dash Grab	17	0
Pivot Grab	18	0
Pummel	1	0

diddy kong
Jab 1	3	-13
Jab 2	5	-12
Jab 3	5	-24
Forward Tilt	10	-16
Up Tilt	6	-17
Down Tilt	4	-8
Dash Attack	8	-14
Forward Smash	12	-21
Up Smash	5	-29
Down Smash	9	-35
Neutral Air	8	-5
Forward Air	6	-12
Back Air	5	-3
Up Air	4	-10
Down Air	15	-26
Neutral B (Peanut Popgun)	16	-25
Peanut Popgun, Misfire	123	-85
Side B (Monkey Flip)	18	0
Monkey Flip, Attack	6	-5
Monkey Flip, Grab Success	11	0
Monkey Flip, Grab Attack	18	0
Monkey Flip, Grab Jump	18	0
Up B (Rocketbarrel Boost)	8	0
Rocketbarrel Boost, Explosion	1	-39
Down B (Banana Peel)	0	0
Grab	7	0
Dash Grab	10	0
Pivot Grab	11	0
Pummel	1	0

donkey kong
Jab 1	5	-14
Jab 2	5	-24
Forward Tilt	7	-19
Up Tilt	5	-23
Down Tilt	6	-12
Dash Attack	9	-14
Forward Smash	22	-18
Up Smash	14	-22
Down Smash	11	-33
Neutral Air	10	-6
Forward Air	18	-11
Back Air	7	-6
Up Air	6	-10
Down Air	14	-8
Neutral B (Giant Punch)	19	-33
Giant Punch, Full Charge	19	-4
Side B (Headbutt)	20	-32
Up B (Spinning Kong)	19	-37
Spinning Kong, Air	4	0
Down B (Hand Slap)	12	-15
Hand Slap, Air	19	-4
Grab	8	0
Dash Grab	11	0
Pivot Grab	12	0
Pummel	2	0

Dr. Mario
Jab 1	2	-13
Jab 2	2	-16
Jab 3	3	-25
Forward Tilt	5	-12
Up Tilt	5	-17
Down Tilt	5	-14
Dash Attack	6	-12
Forward Smash	15	-18
Up Smash	9	-19
Down Smash	5	-30
Neutral Air	3	-4
Forward Air	16	-11
Back Air	6	-5
Up Air	4	-4
Down Air	16	-8
Neutral B (Megavitamin Pill)	17	-23
Side B (Super Sheet)	12	-15
Up B (Super Jump Punch)	3	0
Down B (Dr. Tornado)	10	-30
Grab	6	0
Dash Grab	9	0
Pivot Grab	10	0
Pummel	1	0

Duck Hunt
Jab 1	4	-18
Jab 2	5	-19
Jab 3	6	-21
Rapid Jab	5	0
Rapid Jab Finisher	5	-36
Forward Tilt	8	-15
Up Tilt	7	-13
Down Tilt	6	-13
Dash Attack	10	-23
Forward Smash	17	-30
Up Smash	12	-22
Down Smash	12	-24
Neutral Air	6	-6
Forward Air	7	-5
Back Air	7	-9
Up Air	6	-9
Down Air	14	-12
Neutral B (Trick Shot)	1	0
Side B (Clay Shooting)	17	0
Clay Shooting, Detonate	4	0
Up B (Duck Jump)	0	0
Down B (Wild Gunman)	0	0
Wild Gunman, Leader in brown coat	55	0
Wild Gunman, Black suit	67	0
Wild Gunman, Sombrero guy	73	0
Wild Gunman, Short cowboy	79	0
Wild Gunman, Tall cowboy	91	0
Grab	6	0
Dash Grab	9	0
Pivot Grab	10	0
Pummel	1	0

Falco
Jab 1	2	-17
Jab 2	3	-19
Rapid Jab	5	0
Rapid Jab Finisher	5	-31
Forward Tilt	6	-12
Up Tilt	5	-12
Down Tilt	10	-9
Dash Attack	8	-22
Forward Smash	17	-20
Up Smash	7	-27
Down Smash	8	-28
Neutral Air	3	-7
Forward Air	7	-10
Back Air	9	-8
Up Air	7	-5
Down Air	10	-9
Neutral B (Blaster)	8	-24
Side B (Falco Phantasm)	18	-19
Up B (Fire Bird)	20	-21
Down B (Reflector)	5	-33
Grab	6	0
Dash Grab	9	0
Pivot Grab	10	0
Pummel	1	0

fox
Jab 1	2	-12
Jab 2	2	-16
Rapid Jab	5	0
Rapid Jab Finisher	3	-32
Forward Tilt	6	-11
Up Tilt	3	-18
Down Tilt	7	-12
Dash Attack	4	-17
Forward Smash	13	-22
Up Smash	8	-36
Down Smash	6	-36
Neutral Air	4	-3
Forward Air	7	-14
Back Air	9	-4
Up Air	9	-10
Down Air	5	-14
Neutral B (Blaster)	11	-18
Side B (Fox Illusion)	25	-20
Up B (Fire Fox)	20	-34
Down B (Reflector)	3	-30
Grab	6	0
Dash Grab	10	0
Pivot Grab	11	0
Pummel	1	0

ganondorf
Jab	7	-8
Forward Tilt	10	-17
Up Tilt	60	-14
Down Tilt	10	-12
Dash Attack	10	-9
Forward Smash	29	-24
Up Smash	20	-25
Down Smash	15	-39
Neutral Air	7	-7
Forward Air	14	-7
Back Air	10	-4
Up Air	8	-6
Down Air	16	-9
Neutral B (Warlock Punch)	70	-20
Neutral B, Air (Warlock Punch, Air)	70	-14
Side B (Flame Choke)	16	0
Flame Choke, Success	31	0
Side B, Air (Flame Choke, Air)	16	0
Side B, Air Success (Flame Choke, Air Success)	0	0
Up B (Dark Dive)	14	0
Dark Dive, Grab Success	4	0
Down B (Wizard's Foot)	16	-29
Down B, Air (Wizard's Foot, Air)	16	-34
Grab	8	0
Dash Grab	11	0
Pivot Grab	12	0
Pummel	2	0

greninja
Jab 1	3	-15
Jab 2	3	-15
Jab 3	5	-26
Rapid Jab	4	0
Rapid Jab Finisher	4	-39
Forward Tilt	10	-15
Up Tilt	9	-18
Down Tilt	5	-12
Dash Attack	7	-13
Forward Smash	13	-26
Up Smash	12	-23
Down Smash	11	-29
Neutral Air	12	-3
Forward Air	16	-6
Back Air	5	-8
Up Air	7	-12
Down Air	17	-16
Neutral B (Water Shuriken)	20	-18
Side B (Shadow Sneak)	24	-29
Up B (Hydro Pump)	19	0
Down B (Substitute)	8	0
Down B, Attack (Substitute, Attack)	19	-33
Grab	10	0
Dash Grab	13	0
Pivot Grab	14	0
Pummel	2	0

Hero
Jab 1	6	-15
Jab 2	6	-15
Jab 3	7	-25
Forward Tilt 1	9	-21
Forward Tilt 2	8	-31
Up Tilt	8	-23
Down Tilt	6	-19
Dash Attack	21	-16
Forward Smash	17	-36
Up Smash	13	-29
Down Smash	9	-37
Neutral Air	8	-6
Forward Air	14	-7
Back Air	18	-9
Up Air	6	-5
Down Air	16	-12
Neutral B (Frizz/Frizzle/Kafrizz)	10	-22
Side B, (Zap/Zapple/Kazap)	9	-12
Up B (Woosh/Swoosh/Kaswoosh)	4	0
Down B (Menu/Select)	0	0
Bang	5	-16
Kaboom	6	2
Sizz	6	-26
Sizzle	6	-30
Whack	6	-29
Thwack	23	-28
Kamikazee	44	0
Magic Burst	23	-36
Snooze	6	0
Heal	0	0
Oomph	0	0
Acceleratle	0	0
Bounce	0	0
Kaclang	0	0
Zoom	0	0
Hocus Pocus	0	0
Flame Slash	6	-13
Kacrackle Slash	6	-12
Hatchet Man	37	0
Metal Slash	11	-26
Psych Up	0	0
Grab	6	0
Dash Grab	9	0
Pivot Grab	10	0
Pummel	0	0

Ice Climbers
Jab 1	4	-20
Jab 2	4	-21
Forward Tilt	9	-14
Up Tilt	8	-16
Down Tilt	8	-16
Dash Attack	11	-24
Forward Smash	11	-27
Up Smash	12	-29
Down Smash	9	-22
Neutral Air	6	-4
Forward Air	19	-5
Back Air	8	-3
Up Air	7	-10
Down Air	12	-16
Neutral B (Ice Shot)	18	-29
Side B, both (Squal Hammer, both)	10	-21
Side B, alone (Squal Hammer, alone)	10	-24
Up B (Belay)	16	0
Down B (Blizzard)	16	-22
Grab	8	0
Dash Grab	10	0
Pivot Grab	10	0
Pummel	1	0

Ike
Jab 1	4	-15
Jab 2	3	-20
Jab 3	5	-29
Forward Tilt	12	-17
Up Tilt	11	-17
Down Tilt	7	-13
Dash Attack	15	-17
Forward Smash	31	-39
Up Smash	25	-34
Down Smash	13	-46
Neutral Air	10	-5
Forward Air	11	-9
Back Air	7	-6
Up Air	13	-5
Down Air	16	-9
Neutral B (Eruption)	30	0
Side B (Quickdraw)	16	-28
Up B (Aether)	15	-29
Down B (Counter)	9	0
Counter, Attack	4	0
Grab	7	0
Dash Grab	10	0
Pivot Grab	11	0
Pummel	1	0

incineroar
Jab 1	5	-14
Jab 2	4	-23
Jab 3	4	-28
Forward Tilt	12	-12
Up Tilt	6	-19
Down Tilt	9	-11
Dash Attack	8	-21
Forward Smash	16	-22
Up Smash	13	-23
Down Smash	18	-28
Neutral Air	5	-6
Forward Air	8	-9
Back Air	7	-7
Up Air	7	-4
Down Air	16	-11
Neutral B (Darkest Lariat)	5	-65
Side B (Alolan Whip, Grab)	18	0
Alolan Whip, Lariat Attack	7	0
Alolan Whip, Back Body Drop	8	0
Alolan Whip, Chest Bounce (Failure)	0	0
Up B (Cross Chop)	11	-51
Down B (Revenge)	3	0
Revenge, Counter Attack	7	0
Grab	8	0
Dash Grab	12	0
Pivot Grab	13	0
Pummel	1	0

inkling
Jab 1	3	-13
Jab 2	2	-16
Jab 3	4	-21
Rapid Jab	4	0
Rapid Jab Finisher	6	-38
Forward Tilt	8	-17
Up Tilt	7	-16
Down Tilt	5	-13
Dash Attack	8	-16
Forward Smash	16	-25
Up Smash	9	-44
Down Smash	11	-29
Neutral Air	6	-2
Forward Air	10	-8
Back Air	7	-2
Up Air	12	-3
Down Air	16	-5
Neutral B (Splattershot)	12	-6
Side B (Splat Roller)	16	-15
Up B (Super Jump)	12	0
Down B (Splat Bomb)	20	0
Grab	8	0
Dash Grab	9	0
Pivot Grab	10	0
Pummel	1	0

isabelle
Jab	3	-14
Forward Tilt	8	-20
Up Tilt	6	-19
Down Tilt	9	-13
Dash Attack	10	-21
Forward Smash	14	-20
Up Smash	11	-13
Down Smash	8	-29
Neutral Air	5	-2
Forward Air	10	-4
Back Air	13	-3
Up Air	6	-5
Down Air	14	-5
Neutral B (Pocket)	8	0
Pocket, Throw	9	0
Side B (Fishing Rod)	21	0
Fishing Rod, Reel In	2	0
Fishing Rod, Throw Forward	15	0
Fishing Rod, Throw Back	13	0
Fishing Rod, Throw Up	22	0
Fishing Rod, Throw Down	18	0
Up B (Balloon Trip)	0	0
Down B (Lloid Trap)	9	0
Grab	14	0
Dash Grab	15	0
Pivot Grab	17	0
Pummel	0	0

jigglypuff
Jab 1	5	-7
Jab 2	5	-10
Forward Tilt	7	-7
Up Tilt	9	-6
Down Tilt	10	-10
Dash Attack	5	-23
Forward Smash	16	-22
Up Smash	16	-19
Down Smash	14	-26
Neutral Air	6	-5
Forward Air	8	-5
Back Air	10	-6
Up Air	9	-5
Down Air	7	-13
Neutral B (Rollout)	40	0
Side B (Pound)	13	-11
Up B (Sing)	27	0
Down B (Rest)	2	-189
Grab	6	0
Dash Grab	9	0
Pivot Grab	10	0
Pummel	1	0

joker
Jab 1	4	-16
Jab 2	3	-17
Jab 3	3	-26
Forward Tilt	8	0
Up Tilt	8	-27
Down Tilt	8	-22
Dash Attack	6	0
Forward Smash	16	-21
Up Smash	10	-32
Down Smash	12	-24
Neutral Air	12	-5
Forward Air	7	-10
Back Air	7	-5
Up Air	5	-12
Down Air	13	-7
Neutral B (Gun)	12	0
Gun, Dash Forward	20	0
Gun, Dash Back	22	0
Gun, Jump (From Ground Only)	10	0
Gun, Spiral (From Air Only)	12	0
Gun, Shoot Below (From Air Only)	7	0
Neutral B, Arsene (Gun Special, Arsene)	12	0
Gun Special, Dash Forward	21	0
Gun Special, Dash Back	23	0
Gun Special, Jump (From Ground Only)	10	0
Gun Special, Spiral (From Air Only)	12	0
Gun Special, Shoot Below (From Air Only)	7	0
Side B (Eiha)	16	-27
Side B, Arsene (Eigaon)	16	0
Up B (Grappling Hook)	20	0
Air, Grappling Attack	5	0
Up B, Arsene (Wings of Rebellion)	0	0
Down B (Rebel's Guard)	3	0
Rebel's Guard, Counterattack	8	0
Down B, Arsene (Tetrakarn/Makarakarn)	4	0
Arsene, Tetrakarn Counterattack	4	0
Arsene, Makarakarn Reflect	0	0
Grab	6	0
Dash Grab	8	0
Pivot Grab	9	0
Pummel	1	0

ken
Jab 1 (Light)	2	-10
Jab 2	3	-21
Jab 3	8	-21
Jab (Heavy, Close)	7	0
Jab (Heavy, Far)	9	-10
Forward Tilt (Light, Close)	3	-20
Forward Tilt (Light, Far)	8	-8
Forward Tilt (Heavy)	10	-18
Up Tilt (Light)	3	-8
Up Tilt (Heavy)	7	-19
Down Tilt (Light)	2	-9
Down Tilt (Heavy)	6	-14
Dash Attack	7	-22
Forward Smash	13	-24
Up Smash	9	-24
Down Smash	5	-25
Neutral Air	6	-2
Forward Air	8	-7
Back Air	8	-4
Up Air	5	-8
Down Air	8	-10
Neutral B (Hadouken)	13	-35
Side B (Tatsumaki Senpukyaku)	8	-25
Side B, Air (Tatsumaki Senpukyaku, Air)	8	-36
Up B (Shoryuken)	6	0
True Shoryuken	6	0
Up B (Flame Shoryuken)	5	0
True Flame Shoryuken	5	0
Down B (Focus Attack)	12	-32
Focus Attack, Dash Cancel	0	-8
Nata Otoshi Geri (Input Command)	12	-7
Oosoto Mawashi Geri (Input Command)	9	-13
Grab	6	0
Dash Grab	9	0
Pivot Grab	10	0
Pummel	1	0

king dedede
Jab 1	10	-18
Jab 2	11	-13
Rapid Jab	5	0
Rapid Jab Finisher	4	-41
Forward Tilt	12	-21
Up Tilt	7	-21
Down Tilt	6	-21
Dash Attack	26	-26
Forward Smash	40	-25
Up Smash	17	-39
Down Smash	12	-31
Neutral Air	7	-4
Forward Air	13	-13
Back Air	17	-8
Up Air	10	-10
Down Air	22	-13
Neutral B (Inhale)	17	0
Inhale, Spit	6	0
Side B (Gordo Throw)	29	-21
Up B (Super Dedede Jump)	69	-46
Down B (Jet Hammer, Partial Charge)	10	-39
Down B, Full Charge (Jet Hammer, Full Charge)	9	-26
Grab	8	0
Dash Grab	11	0
Pivot Grab	12	0
Pummel	2	0

king k. rool
Jab 1	4	-16
Jab 2	3	-20
Jab 3	5	-21
Forward Tilt	12	-20
Up Tilt	5	-21
Down Tilt	13	-17
Dash Attack	7	-38
Forward Smash	19	-29
Up Smash	6	-55
Down Smash	22	-29
Neutral Air	7	-4
Forward Air	11	-5
Back Air	18	-7
Up Air	7	-8
Down Air	14	-9
Neutral B (Blunderbuss Kannonball)	25	-25
Blunderbuss, Vacuum	7	0
Blunderbuss, Second Shot	35	7
Side B (Crownerang)	27	-26
Up B (Propellerpack)	11	0
Down B (Gut Check)	5	0
Gut Check, Counterattack	3	0
Grab	8	0
Dash Grab	11	0
Pivot Grab	12	0
Pummel	0	0

kirby
Jab 1	2	-9
Jab 2	3	-9
Rapid Jab	5	0
Rapid Jab Finisher	3	-32
Forward Tilt	5	-10
Up Tilt	4	-10
Down Tilt	4	-9
Dash Attack	9	-38
Forward Smash	13	-23
Up Smash	12	-23
Down Smash	10	-33
Neutral Air	8	-2
Forward Air	10	-5
Back Air	6	-5
Up Air	8	-3
Down Air	18	-12
Neutral B (Inhale)	10	0
Inhale, Copy/Spit	8	0
Side B (Hammer)	11	-26
Hammer, Full Charge	11	-18
Hammer (Air)	28	0
Up B (Final Cutter)	23	0
Down B (Stone)	11	-35
Down B, Air (Stone, Air)	29	-17
Grab	6	0
Dash Grab	9	0
Pivot Grab	10	0
Pummel	1	0

link
Jab 1	8	-12
Jab 2	5	-16
Jab 3	6	-23
Forward Tilt	15	-12
Up Tilt	8	-17
Down Tilt	10	-11
Dash Attack	20	-21
Forward Smash 1	17	-27
Forward Smash 2	10	-41
Up Smash	10	-28
Down Smash	12	-33
Neutral Air	7	-2
Forward Air	16	-7
Back Air	6	-3
Up Air	11	-9
Down Air	14	0
Neutral B (Hero's Bow)	16	-21
Side B (Boomerang)	27	-8
Up B (Spin Attack)	7	-56
Up B, Air (Spin Attack, Air)	8	0
Down B (Remote Bomb, Pull)	0	0
Down B (Remote Bomb, Detonate)	12	-19
Grab	6	0
Dash Grab	9	0
Pivot Grab	10	0
Pummel	1	0

little mac
Jab 1	1	-17
Jab 2	1	-17
Jab 3	4	-19
Rapid Jab	4	0
Rapid Jab Finisher	5	-25
Forward Tilt	4	-17
Up Tilt	4	-18
Down Tilt	3	-14
Dash Attack	7	-16
Forward Smash	14	-16
Up Smash	10	-23
Down Smash	10	-23
Neutral Air	2	-8
Forward Air	10	-10
Back Air	11	-13
Up Air	5	-10
Down Air	7	-15
Neutral B, Partial Charge (Straight Lunge, Partial Charge)	4	-34
Neutral B, Full Charge (Straight Lunge, Full Charge)	123	-82
K.O. Punch	9	0
Side B (Jolt Haymaker)	8	-39
Side B, Air (Jolt Haymaker, Air)	8	-32
Up B (Rising Uppercut)	3	0
Down B (Slip Counter)	5	0
Slip Counter, Counterattack	16	0
Grab	9	0
Dash Grab	13	0
Pivot Grab	14	0
Pummel	1	0

lucario
Jab 1	7	-21
Jab 2	5	-26
Jab 3	9	-26
Forward Tilt	12	-12
Up Tilt	6	-22
Down Tilt	9	-9
Dash Attack	7	-28
Forward Smash	19	-27
Up Smash	15	-37
Down Smash	19	-28
Neutral Air	10	-2
Forward Air	7	-6
Back Air	13	-10
Up Air	10	-10
Down Air	4	-10
Neutral B (Aura Sphere)	9	-30
Aura Sphere, Full Charge	17	-27
Side B (Force Palm)	24	-24
Force Palm, Grab	9	0
Up B (Extreme Speed)	46	-23
Down B (Double Team)	5	0
Double Team, Counterattack	8	-31
Grab	7	0
Dash Grab	10	0
Pivot Grab	11	0
Pummel	1	0

lucas
Jab 1	2	-13
Jab 2	3	-13
Jab 3	6	-19
Forward Tilt	7	-10
Up Tilt	4	-18
Down Tilt	3	-6
Dash Attack	13	-15
Forward Smash	14	-21
Up Smash	28	-54
Down Smash	20	-12
Neutral Air	7	-10
Forward Air	9	-3
Back Air	15	-5
Up Air	7	-3
Down Air	10	-14
Z Air	9	-2
Neutral B (PK Freeze)	40	-14
Side B (PK Fire)	21	-24
Up B (PK Thunder)	20	0
Up B, Self-hit (PK Thunder 2)	1	-21
Down B (PSI Magnet)	19	0
Grab	12	0
Dash Grab	14	0
Pivot Grab	15	0
Pummel	1	0

lucina
Jab 1	5	-16
Jab 2	4	-19
Forward Tilt	8	-15
Up Tilt	6	-19
Down Tilt	7	-8
Dash Attack	13	-21
Forward Smash	10	-31
Up Smash	13	-41
Down Smash	6	-42
Neutral Air	6	-4
Forward Air	6	-6
Back Air	7	-5
Up Air	5	-3
Down Air	9	-9
Neutral B (Shieldbreaker)	19	0
Side B (Dancing Blade)	9	-26
Dancing Blade 2 Neutral	5	-29
Dancing Blade 3 Neutral	4	-35
Dancing Blade 4 Neutral	7	-43
Dancing Blade 2 Up	4	-30
Dancing Blade 3 Up	5	-34
Dancing Blade 4 Up	6	-32
Dancing Blade 3 Down	5	-34
Dancing Blade 4 Down	7	-50
Up B (Dolphin Slash)	5	0
Down B (Counter)	6	0
Counter, Attack	4	0
Grab	6	0
Dash Grab	9	0
Pivot Grab	10	0
Pummel	1	0

luigi
Jab 1	2	-13
Jab 2	3	-12
Jab 3	6	-19
Forward Tilt	5	-18
Up Tilt	5	-15
Down Tilt	5	-2
Dash Attack	4	-18
Forward Smash	12	-19
Up Smash	9	-20
Down Smash	6	-21
Neutral Air	3	-3
Forward Air	7	-9
Back Air	6	-5
Up Air	5	-3
Down Air	10	-8
Z Air	14	-2
Neutral B (Fireball)	17	-20
Side B (Green Missile)	22	-26
Up B (Super Jump Punch, Ground)	8	-79
Up B (Super Jump Punch, Air)	6	0
Down B (Luigi Cyclone)	10	-40
Grab	14	0
Dash Grab	16	0
Pivot Grab	17	0
Pummel	1	0

Mario
Jab 1	2	-14
Jab 2	2	-16
Jab 3	3	-29
Forward Tilt	5	-13
Up Tilt	5	-18
Down Tilt	5	-15
Dash Attack	6	-17
Forward Smash	15	-22
Up Smash	9	-20
Down Smash	5	-31
Neutral Air	3	-2
Forward Air	16	-12
Back Air	6	-2
Up Air	4	-3
Down Air	5	-11
Neutral B (Fireball)	17	-23
